Código Promo;Propietario;Provincia;Localidad;Calle;Número;Cp;Id_Inmueble;Referencia;Tipo;PrecioVentaPúblico;PrecioAlquiler;
"IDD27660";"SAREB";"Tarragona";"Valls";"San Benet";"0012";"43800";"107393";"2001##00333934";"Piso";"67300";"0";
"IDD17464";"SAREB";"Barcelona";"Sant";"VINYETES";"1";"8182";"52113";"2001##00306404";"Garaje";"8200";"0";
"IDD17464";"SAREB";"Barcelona";"Sant";"VINYETES";"1";"8182";"55076";"2001##00306405";"Garaje";"7500";"0";
"IDD17464";"SAREB";"Barcelona";"Sant";"VINYETES";"1";"8182";"56438";"2001##00306403";"Garaje";"8500";"0";
"IDD43913";"SAREB";"Barcelona";"Navarcles";"DE LA SORT";"1";"0";"97973";"2001##00311627";"Piso";"48600";"0";
"IDD43913";"SAREB";"Barcelona";"Navarcles";"DE LA SORT";"1";"0";"97974";"2001##00311629";"Piso";"44600";"0";
"IDD43913";"SAREB";"Barcelona";"Navarcles";"DE LA SORT";"1";"0";"116233";"2001##00311625";"Piso";"48600";"0";
"IDD46270";"SAREB";"Granada";"Granada";"AIXA LA HORRA";"0";"18008";"94490";"2001##00302624";"Local";"100500";"0";
"IDD27088";"SAREB";"Barcelona";"Sant";"OSONA";"4";"8295";"67470";"2001##00331799";"Piso";"68600";"0";
"IDD27088";"SAREB";"Barcelona";"Sant";"OSONA";"4";"8295";"67471";"2001##00332864";"Piso";"90800";"0";
"IDD27088";"SAREB";"Barcelona";"Sant";"OSONA";"4";"8295";"84831";"2001##00336139";"Piso";"90800";"0";
"IDD27088";"SAREB";"Barcelona";"Sant";"OSONA";"4";"8295";"95534";"2001##00335238";"Garaje";"11300";"0";
"IDD27088";"SAREB";"Barcelona";"Sant";"OSONA";"4";"8295";"95537";"2001##00336072";"Garaje";"11300";"0";
"IDD19099";"SAREB";"Barcelona";"Castelldefels";"PELAI";"5";"8860";"54863";"2001##00307907";"Local";"120700";"0";
"IDD46276";"SAREB";"Barcelona";"Montcada";"CAN CUYAS";"80";"8110";"90768";"2001##00307985";"Nave";"2882100";"0";
"IDD30346";"SAREB";"Badajoz";"Puebla";"DULCE CHACÓN";"27";"6490";"68744";"2001##00300411";"Oficina";"29800";"0";
"IDD23113";"SAREB";"Lleida";"Alcarras";"BARCELONETA";"6";"25180";"69801";"2001##00310950";"Garaje";"12100";"0";
"IDD23113";"SAREB";"Lleida";"Alcarras";"BARCELONETA";"6";"25180";"69803";"2001##00310953";"Garaje";"11600";"0";
"IDD23113";"SAREB";"Lleida";"Alcarras";"BARCELONETA";"6";"25180";"69806";"2001##00310951";"Garaje";"6500";"0";
"IDD25665";"SAREB";"Toledo";"Ugena";"PLAZA MAYOR";"11";"45217";"60237";"2001##00300352";"Garaje";"11500";"0";
"IDD25665";"SAREB";"Toledo";"Ugena";"PLAZA MAYOR";"11";"45217";"60556";"2001##00300368";"Oficina";"42000";"0";
"IDD25665";"SAREB";"Toledo";"Ugena";"PLAZA MAYOR";"11";"45217";"60562";"2001##00300369";"Oficina";"51400";"0";
"IDD27090";"SAREB";"Almería";"Cuevas";"BALLABONA";"3";"4610";"65441";"2001##00334290";"Garaje";"5200";"0";
"IDD44428";"SAREB";"Barcelona";"Badalona";"INDUSTRIA";"50-54";"8912";"87809";"2001##00330922";"Piso";"222200";"0";
"IDD46345";"SAREB";"Teruel";"Teruel";"Cerro de los Alcaldes";"5";"44002";"90046";"2001##00301569";"Piso";"116400";"0";
